taxon,evc.class.code
Allium subvillosum,LYG
Allium trifoliatum,CHE
Allium triquetrum,CHE+EPI
Allium ursinum,FAG+POP
Allium victorialis,MUL
Allium vineale,FES+PAR
Allocetraria madreporiformis,LAM
Allosorus acrosticus,ASP
Allosorus guanchicus,ASP
Allosorus hispanicus,ASP
Allosorus persicus,ASP
Allosorus pteridioides,ASP
Allosorus pulchellus,ASP
Allosorus tinaei,ASP
Allosorus X ibericus,ASP
Allosorus X kochianus,ASP
Allosorus X tolocensis,ASP
Alnus alnobetula subsp. alnobetula,VIR
Alnus alnobetula subsp. fruticosa,VIR
Alnus alnobetula subsp. suaveolens,MUL
Alnus cordata,FAG
Alnus glutinosa,ALN+POP
Alnus incana subsp. incana,POP
Alnus incana subsp. kolaensis,PIC
Aloina bifrons,LYG
Aloina brevirostris,FES
Aloina rigida,FES
Alopecurus aequalis,BID
Alopecurus arundinaceus,MOL
Alopecurus borealis,PAP
Alopecurus bulbosus,MOL
Alopecurus creticus,ISO
Alopecurus dasyanthus,LAM
Alopecurus geniculatus,MOL
Alopecurus gerardi,ANA
Alopecurus glacialis,LAM
Alopecurus magellanicus,ARC+HER+TRI
Alopecurus myosuroides,PAR
Alopecurus ponticus,LAM
Alopecurus pratensis,MOL
Alopecurus rendlei,MOL
Alopecurus utriculatus,MOL
Alopecurus vaginatus,FES
Alternanthera caracasana,POL
Alternanthera pungens,POL
Althaea cannabina,FES
Althaea longiflora,CHE
Althaea officinalis,MOL+PHR
Althenia filiformis,RUP
Althenia orientalis subsp. betpakdalensis,RUP
Althenia orientalis subsp. orientalis,RUP
Alyssoides utriculata,ASP
Alyssum alpestre,SES
Alyssum alyssoides,SED+TRA
Alyssum argenteum,ASP
Alyssum atlanticum,ROS
Alyssum austrodalmaticum,ASP
Alyssum calycocarpum,COR
Alyssum cuneifolium,THL
Alyssum dasycarpum,FES
Alyssum diffusum,THL
Alyssum doerfleri,ASP+FES
Alyssum fastigiatum,THL
Alyssum foliosum,QUI
Alyssum gmelinii,COR+FES
Alyssum granatense,CHE
Alyssum gustavssonii,DAP
Alyssum handelii,THL
Alyssum hirsutum,COR
Alyssum idaeum,DAP
Alyssum lassiticum,ASP
Alyssum lenense,COR+FES
Alyssum loiseleurii,CRU
Alyssum minutum,TUB
Alyssum moellendorfianum,ASP
Alyssum montanum,FES
Alyssum pluscanescens,ASP
Alyssum pulvinare,FES
Alyssum repens,FES
Alyssum rostratum,FES
Alyssum siculum,DAP
Alyssum simplex,CHE+TUB
Alyssum smyrnaeum,QUI
Alyssum sphacioticum,THL
Alyssum stribrnyi,FES+SES
Alyssum strigosum,FES
Alyssum taygeteum,DAP
Alyssum trichostachyum,SES+THL
Alyssum turkestanicum,FES+SED
Alyssum umbellatum,ROS
Alyssum wierzbickii,FAG
Alyssum wulfenianum subsp. ovirense,THL
Alyssum wulfenianum subsp. wulfenianum,THL
Amaranthus albus,DIG
Amaranthus blitoides,DIG
Amaranthus blitum,DIG
Amaranthus bouchonii,SIS
Amaranthus caudatus,SIS
Amaranthus crispus,DIG
Amaranthus deflexus,DIG
Amaranthus emarginatus,DIG
Amaranthus graecizans subsp. graecizans,DIG
