Code,Name,Status,Class,Family
FES,Agropyron cristatum subsp. brandzae,,Monocotyl,Poaceae
FES,Agropyron cristatum subsp. cristatum,,Monocotyl,Poaceae
FES,Agropyron cristatum subsp. pectinatum ,,Monocotyl,Poaceae
COR,Agropyron dasyanthum,,Monocotyl,Poaceae
FES,Agropyron desertorum,,Monocotyl,Poaceae
PAR,Agrostemma githago subsp. githago,,Eudicot,Caryophyllaceae
LYG,Agrostemma githago subsp. thessalum ,,Eudicot,Caryophyllaceae
SES,Agrostis alpina,,Monocotyl,Poaceae
ALN,Agrostis canina subsp. canina*,,Monocotyl,Poaceae
SCH,Agrostis canina subsp. canina*,,Monocotyl,Poaceae
SCH,Agrostis canina subsp. granatensis                 ,,Monocotyl,Poaceae
GER,Agrostis capillaris* ,,Monocotyl,Poaceae
MOL,Agrostis capillaris* ,,Monocotyl,Poaceae
NAR,Agrostis capillaris* ,,Monocotyl,Poaceae
TOL,Agrostis castellana*,,Monocotyl,Poaceae
PIL,Agrostis castellana* ,,Monocotyl,Poaceae
SAC,Agrostis castellana* ,,Monocotyl,Poaceae
TOL,Agrostis congestiflora subsp. oreophila,,Monocotyl,Poaceae
ULI,Agrostis curtisii ,,Monocotyl,Poaceae
MOL,Agrostis gigantea subsp. gigantea,,Monocotyl,Poaceae
FEP,Agrostis gigantea subsp. maeotica,,Monocotyl,Poaceae
COR,Agrostis gigantea subsp. pontica,,Monocotyl,Poaceae
TOL,Agrostis gracililaxa var. gracililaxa,,Monocotyl,Poaceae
SCH,Agrostis hesperica,,Monocotyl,Poaceae
HER,Agrostis lazica,,Monocotyl,Poaceae
TRI,Agrostis mertensii ,,Monocotyl,Poaceae
TRI,Agrostis nevadensis,,Monocotyl,Poaceae
TRI,Agrostis rupestris subsp. pyrenaica,,Monocotyl,Poaceae
PIL,Agrostis rupestris subsp. rupestris* ,,Monocotyl,Poaceae
TRI,Agrostis rupestris subsp. rupestris* ,,Monocotyl,Poaceae
COR,Agrostis sabulicola ,,Monocotyl,Poaceae
SES,Agrostis schleicheri,,Monocotyl,Poaceae
TRI,Agrostis schraderiana ,,Monocotyl,Poaceae
ART,Agrostis stolonifera subsp. gaditana ,,Monocotyl,Poaceae
TUB,Agrostis stolonifera subsp. maritima,,Monocotyl,Poaceae
MOL,Agrostis stolonifera subsp. scabriglumis,,Monocotyl,Poaceae
MOL,Agrostis stolonifera subsp. stolonifera,,Monocotyl,Poaceae
IND,Agrostis tileni,,Monocotyl,Poaceae
COR,Agrostis vinealis,,Monocotyl,Poaceae
MOL,Agrostis X murbeckii,,Monocotyl,Poaceae
AEO,Aichryson bethencourtianum ,,Eudicot,Crassulaceae
AEO,Aichryson bituminosum ,,Eudicot,Crassulaceae
AEO,Aichryson bollei ,,Eudicot,Crassulaceae
