SPECIES_NR;LETTERCODE;SHORTNAME;ABBREVIAT;NATIVENAME;AUTHOR;SYNONYM;VALID_NR
9457;RUBUFER;Rubus ferox;Rubus ferox;;;FALSCH;9457
9458;RUBUFRA;Rubus franconicus;Rubus franconicus;;;FALSCH;9458
9459;RUBUFRU;Rubus fruticosus ag.;Rubus fruticosus agg.;;;FALSCH;9459
9460;RUBUGEM;Rubus geminatus;Rubus geminatus;;;FALSCH;9460
9461;RUBUGLI;Rubus gliviciensis;Rubus gliviciensis;;;FALSCH;9461
9462;RUBUGOT;Rubus gothicus;Rubus gothicus;;;FALSCH;9462
9463;RUBUGRA;Rubus grabowskii;Rubus grabowskii;;;FALSCH;9463
9464;RUBUGRB;Rubus grabow s. grabow;Rubus grabowskii ssp. grabowskii;;;FALSCH;9464
9465;RUBUGRC;Rubus gracilis;Rubus gracilis;;;FALSCH;9465
9466;RUBUGRE;Rubus graecensis;Rubus graecensis;;;FALSCH;9466
9467;RUBUGRO;Rubus grossus;Rubus grossus;;;FALSCH;9467
9468;RUBUGUE;Rubus guentheri;Rubus guentheri;;;FALSCH;9468
9469;RUBUHAD;Rubus hadracanthos;Rubus hadracanthos;;;FALSCH;9469
9470;RUBUHEN;Rubus henrici-egonis;Rubus henrici-egonis;;;FALSCH;9470
9471;RUBUHER;Rubus hercynicus;Rubus hercynicus;;;FALSCH;9471
9472;RUBUHEC;Rubus hercyn s. pubesc;Rubus hercynicus ssp. pubescens;;;FALSCH;9472
9473;RUBUHIR;Rubus hirtus s.lat.;Rubus hirtus s.lat.;;;FALSCH;9473
9474;RUBUHOL;Rubus holosericeus;Rubus holosericeus;;;FALSCH;9474
9475;RUBUHYP;Rubus hypomalacus;Rubus hypomalacus;;;FALSCH;9475
9476;RUBUIDA;Rubus idaeus;Rubus idaeus;;;FALSCH;9476
9477;RUBUILL;Rubus illecebrosus;Rubus illecebrosus;;;FALSCH;9477
9478;RUBUJOS;Rubus josefianus;Rubus josefianus;;;FALSCH;9478
9479;RUBUJUE;Rubus juennensis;Rubus juennensis;;;FALSCH;9479
9480;RUBUKOE;Rubus koehleri;Rubus koehleri;;;FALSCH;9480
9481;RUBULAC;Rubus laciniatus;Rubus laciniatus;;;FALSCH;9481
9482;RUBULIU;Rubus liubensis;Rubus liubensis;;;FALSCH;9482
9483;RUBULIV;Rubus lividus;Rubus lividus;;;FALSCH;9483
9484;RUBULUS;Rubus lusaticus;Rubus lusaticus;;;FALSCH;9484
9485;RUBUMAC;Rubus macrophyllus;Rubus macrophyllus;;;FALSCH;9485
9486;RUBUMIC;Rubus micans;Rubus micans;;;FALSCH;9486
9487;RUBUMOL;Rubus mollis;Rubus mollis;;;FALSCH;9487
9488;RUBUMON;Rubus montanus;Rubus montanus;;;FALSCH;9488
9489;RUBUMOS;Rubus moschus;Rubus moschus;;;FALSCH;9489
9490;RUBUNEM;Rubus nemoralis;Rubus nemoralis;;;FALSCH;9490
9491;RUBUNEO;Rubus nemorosus;Rubus nemorosus;;;FALSCH;9491
9492;RUBUNES;Rubus nessensis;Rubus nessensis;;;FALSCH;9492
9493;RUBUOBT;Rubus obtusangulus;Rubus obtusangulus;;;FALSCH;9493
9494;RUBUOCC;Rubus occidentalis;Rubus occidentalis;;;FALSCH;9494
9495;RUBUODO;Rubus odoratus;Rubus odoratus;;;FALSCH;9495
9496;RUBUORT;Rubus orthostachoides;Rubus orthostachoides;;;FALSCH;9496
9497;RUBUORH;Rubus orthostachys;Rubus orthostachys;;;FALSCH;9497
9498;RUBUPAR;Rubus parviflorus;Rubus parviflorus;;;FALSCH;9498
9499;RUBUPED;Rubus pedemontanus;Rubus pedemontanus;;;FALSCH;9499
9500;RUBUPER;Rubus perrobustus;Rubus perrobustus;;;FALSCH;9500
9501;RUBUPHO;Rubus phoenicolasius;Rubus phoenicolasius;;;FALSCH;9501
9502;RUBUPLI;Rubus plicatus;Rubus plicatus;;;FALSCH;9502
9503;RUBUPRA;Rubus praecox;Rubus praecox;;;FALSCH;9503
9504;RUBUPSE;Rubus pseudopsis;Rubus pseudopsis;;;FALSCH;9504
9505;RUBUPYR;Rubus pyramidalis;Rubus pyramidalis;;;FALSCH;9505
9506;RUBURAD;Rubus radula;Rubus radula;;;FALSCH;9506
9507;RUBURUD;Rubus rudis;Rubus rudis;;;FALSCH;9507
9508;RUBUSAL;Rubus salisburgensis;Rubus salisburgensis;;;FALSCH;9508
9509;RUBUSAZ;Rubus salzmannii;Rubus salzmannii;;;FALSCH;9509
9510;RUBUSAX;Rubus saxatilis;Rubus saxatilis;;;FALSCH;9510
9511;RUBUSCA;Rubus scaber;Rubus scaber;;;FALSCH;9511
9512;RUBUSCH;Rubus schleicheri;Rubus schleicheri;;;FALSCH;9512
9513;RUBUSEN;Rubus senticosus;Rubus senticosus;;;FALSCH;9513
9514;RUBUSIL;Rubus silesiacus;Rubus silesiacus;;;FALSCH;9514
9515;RUBUSIV;Rubus silvaticus;Rubus silvaticus;;;FALSCH;9515
9516;RUBUSOL;Rubus solvensis;Rubus solvensis;;;FALSCH;9516
9517;RUBUSPR;Rubus sprengelii;Rubus sprengelii;;;FALSCH;9517
9518;RUBUSTY;Rubus styriacus;Rubus styriacus;;;FALSCH;9518
9519;RUBUSUL;Rubus sulcatus;Rubus sulcatus;;;FALSCH;9519
9520;RUBUSYL;Rubus sylvulicola;Rubus sylvulicola;;;FALSCH;9520
9521;RUBUTAB;Rubus tabanimontanus;Rubus tabanimontanus;;;FALSCH;9521
9522;RUBUTHE;Rubus thelybatos;Rubus thelybatos;;;FALSCH;9522
9523;RUBUTUB;Rubus tuberculatus;Rubus tuberculatus;;;FALSCH;9523
9524;RUBUULM;Rubus ulmifolius;Rubus ulmifolius;;;FALSCH;9524
9525;RUBUVEN;Rubus venosus;Rubus venosus;;;FALSCH;9525
9526;RUBUVES;Rubus vestitus;Rubus vestitus;;;FALSCH;9526
9527;RUBUVIL;Rubus villarsianus;Rubus villarsianus;;;FALSCH;9527
9528;RUBUVRA;Rubus vratnensis;Rubus vratnensis;;;FALSCH;9528
9529;RUBUWEI;Rubus weizensis;Rubus weizensis;;;FALSCH;9529
9530;RUBUWID;Rubus widderi;Rubus widderi;;;FALSCH;9530
9531;RUBUWIM;Rubus wimmerianus;Rubus wimmerianus;;;FALSCH;9531
9532;RUBUXAN;Rubus xanthocarpus;Rubus xanthocarpus;;;FALSCH;9532
9533;RUBUSP.;Rubus sp.;Rubus sp.;;;FALSCH;9533
9534;RUDBFUL;Rudbeckia fulgida;Rudbeckia fulgida;;;FALSCH;9534
