abbr;layer;comment;13;95;102;91;65;4;111;78;109;75;110;47;34;92;28;114;35;76;115;71;101;100;103;104;106;21;107;18;9;41;105;67;68;6;99;43;79;112;20;1;8;22;27;29;66;70;17;46;77;48;51;69;82;14;7;12;52;24;26;30;80;25;58;84;85;81;83;57;73;15;87;93;94;5;19;49;108;53;61;23;33;64;96;74;31;113;56;2;62;90;89;32;36;55;42;10;59;50;40;86;37;60;54;3;88;38;44;39;45;63;97;98;72;16
buph sali;hl;Buphthalmum salicifolium;;;;+;2b;+;+;+;+;1;+;1;;;1;+;;;;2a;+;+;;+;1;1;;2a;+;;1;1;1;+;+;;+;+;1;r;;+;1;;1;1;+;;+;;;1;+;;;;;;;;;;;;;;;;+;;;;;;2a;;2a;;1;;;1;+;1;;+;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
cala vari;hl;Calamagrostis varia;;+;;;;+;1;;+;1;1;;1;;+;1;;+;+;1;2b;1;1;2b;2b;+;2a;2b;+;2a;2a;1;3;2a;+;1;2a;2a;3;1;1;3;1;+;1;2a;2a;;+;+;+;2a;+;3;3;4;3;2a;1;1;1;2a;1;4;4;3;3;2a;+;2b;2a;2b;3;2a;2a;2b;1;2b;3;3;1;2a;2b;2b;3;2b;2b;2a;3;1;2a;2a;1;2b;1;2a;3;2a;2b;2a;1;2a;3;1;1;;2a;+;1;;+;+;;+
camp pers;hl;Campanula cochleariifolia;;;;;;+;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;1;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;
camp rotu;hl;Campanula rotundifolia;;;;;;r;;;;;r;;;;;;;;;;;;;;;+;;;;r;+;;+;;;;+;;;;r;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
camp trac;hl;Campanula trachelium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
card defl viri;hl;Carduus defloratus s.lat.;;;;;;r;2a;;+;+;+;+;r;+;+;+;;;;1;+;+;;+;1;;+;+;1;1;+;+;+;+;+;+;+;+;+;r;+;1;1;;+;1;1;+;;+;+;1;+;;;;;;;;;;r;;;;;;;;;;r;+;;;+;+;1;;r;;+;+;;1;r;r;r;r;+;r;;;+;;;;;;;;;;+;;;;;r;;;;
card enne;hl;Cardamine enneaphyllos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;+;;;;;;+;;;
care alba;hl;Carex alba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;1;;;;;;;2b;2a;+;;;2b;;;;;;+;;1;;;;1;1;2a;1;+;+;1;;2b;1;2a;2a;1;1;2a;2a;3;2a;2a;1;2b;2b;2b;1;2a;;1;2a;2a;1;2b;3;1;3;2b;2a;2a;1;2b;2a;3;2a;2a;2b;2b;3;2b;3;2a;2b;3;2b;2b;2b;2b;2b;2a;2a;3;r
care brac;hl;Carex brachystachys;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;
care digi;hl;Carex digitata;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;1;;;;;;;;;;;+;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;1;;;;;;;;;;;;;;+;;;;;;;;+;;;1;
care ferr;hl;Carex ferruginea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
care firm;hl;Carex firma;2b;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;
care flac;hl;Carex flacca;;;;;;;+;;;;;;;;+;;;;;;;;;;+;;;;;;;;1;;;;;+;+;;+;;;;+;;;;;;+;+;;+;r;;;;;;;;;;+;+;+;;;;1;+;+;;;;;+;;;1;;;;1;;1;;;+;1;+;;;;+;;+;;r;;;;;+;;;;;;;;;
care humi;hl;Carex humilis;;;;;+;2b;2b;2b;2b;2b;3;2a;2a;2b;;2a;+;3;2a;2a;3;2b;2a;3;3;;3;2b;3;;3;2b;2a;2a;3;2b;;1;;3;2a;3;;;3;3;3;2a;1;1;+;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
care mont;hl;Carex montana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;1;;;+;+;2b;;;2a;;;1;;;;;;;2a;2b;2a;;;;;;;;;;;;;;1;;;;;;;;;1;2a;3;2a;;2b;2a;2b;2b;+;;2a;;1;2a;2b;2b;2b;1;;;;+;;;;;;;;;;;;;;;;
care mucr;hl;Carex mucronata;;;2a;2a;2b;;;;+;;;+;1;+;1;2m;+;+;;2m;2m;2m;2m;+;2m;;;1;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
care sylv;hl;Carex sylvatica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
carl acau acau;hl;Carlina acaulis ssp. acaulis;;;;;;;+;;;;;;;;;;;;;;+;r;;;;;;r;r;+;;;+;;;;;;;;;+;;;+;r;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cent jace jace;hl;Centaurea jacea ssp. jacea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ceph dama;hl;Cephalanthera damasonium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;r;;;;;+;;;;;;;;;
ceph long;hl;Cephalanthera longifolia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;r;;;;;;r;;;;r;+;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;r;+;;;;r;;;;;r;+;;;;;;;;r;;r;;;
ceph rubr;hl;Cephalanthera rubra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
clem vita;hl;Clematis vitalba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
